ward,district,total_residents,pct_aged_50_plus,pct_AB_equivalent,pct_routine_manual,notes
Axminster,East Devon,8125,48.6,28.1,28.1,
Beer & Branscombe,East Devon,2353,60.4,34.2,21.5,
Broadclyst,East Devon,7083,32.7,40.4,18.2,
Budleigh & Raleigh,East Devon,7671,62.7,40.9,17.6,
Clyst Valley,East Devon,2437,51.7,41.1,17.2,
Coly Valley,East Devon,4709,61.1,34.6,19.1,
Cranbrook,East Devon,6745,13.8,40.6,20.7,
Dunkeswell & Otterhead,East Devon,5779,54.4,34.0,18.3,
Exe Valley,East Devon,2464,50.0,38.2,18.1,
Exmouth Brixington,East Devon,7640,49.6,32.2,25.5,
Exmouth Halsdon,East Devon,7409,52.5,34.6,23.7,
Exmouth Littleham,East Devon,8070,60.3,36.0,22.2,
Exmouth Town,East Devon,7307,42.8,30.7,29.1,
Exmouth Withycombe Raleigh,East Devon,5075,43.7,29.7,28.5,
Feniton,East Devon,2720,43.6,34.8,21.6,
Honiton St Michael's,East Devon,6807,48.7,28.1,30.9,
Honiton St Paul's,East Devon,4855,53.1,29.9,27.9,
Newbridges,East Devon,2533,60.4,34.1,18.4,
Newton Poppleford & Harpford,East Devon,2301,54.1,38.0,21.2,
Ottery St Mary,East Devon,7985,47.8,37.8,20.4,
Seaton,East Devon,7128,64.1,30.6,26.8,
Sidmouth Rural,East Devon,2101,69.3,47.4,12.9,
Sidmouth Sidford,East Devon,7863,58.7,34.7,23.5,
Sidmouth Town,East Devon,4413,70.5,42.1,18.1,
Tale Vale,East Devon,2476,50.2,42.3,14.4,
Trinity,East Devon,2549,61.7,42.3,15.0,
West Hill & Aylesbeare,East Devon,2690,55.3,51.0,11.4,
Whimple & Rockbeare,East Devon,3012,51.6,42.3,15.7,
Woodbury & Lympstone,East Devon,6007,44.2,46.4,16.4,
Yarty,East Devon,2525,59.8,37.3,16.1,
Alphington,Exeter,8266,44.7,32.8,24.9,
Duryard and St James,Exeter,15147,16.3,14.6,7.2,
Exwick,Exeter,9767,35.5,27.3,30.4,
Heavitree,Exeter,9247,35.8,38.7,19.0,
Mincinglake and Whipton,Exeter,8793,38.0,25.4,33.0,
Newtown and St Leonard's,Exeter,10852,28.6,34.1,15.2,
Pennsylvania,Exeter,10533,29.6,31.0,17.2,
Pinhoe,Exeter,9588,34.3,36.3,23.8,
Priory,Exeter,8717,38.8,31.0,30.2,
St David's,Exeter,10530,25.7,28.5,17.7,
St Loyes,Exeter,9387,37.4,36.4,23.9,
St Thomas,Exeter,9844,37.6,32.1,28.1,
Topsham,Exeter,10038,41.1,42.5,20.4,
Bradninch,Mid Devon,2005,42.7,37.5,21.3,
Cadbury,Mid Devon,1653,52.3,42.6,13.9,
Canonsleigh,Mid Devon,3320,50.2,36.0,18.4,
Clare & Shuttern,Mid Devon,3516,58.8,34.5,19.4,
Crediton Boniface,Mid Devon,4276,39.0,29.0,30.9,
Crediton Lawrence,Mid Devon,3801,47.7,30.2,28.2,
Cullompton Padbrook,Mid Devon,,,,,2023 boundary review split/merged this ward from multiple old wards; no clean single-ward 2021 Census match — see Winning Devon section 14
Cullompton St Andrews,Mid Devon,,,,,2023 boundary review split/merged this ward from multiple old wards; no clean single-ward 2021 Census match — see Winning Devon section 14
Cullompton Vale,Mid Devon,,,,,2023 boundary review split/merged this ward from multiple old wards; no clean single-ward 2021 Census match — see Winning Devon section 14
Halberton,Mid Devon,2334,44.3,38.0,17.5,
Lower Culm,Mid Devon,5932,46.2,32.0,28.0,
Sandford & Creedy,Mid Devon,3346,55.7,36.0,18.0,
Silverton,Mid Devon,1908,51.4,38.3,19.7,
Taw Vale,Mid Devon,1758,52.6,29.3,22.2,
Tiverton Castle,Mid Devon,4328,47.2,27.4,30.5,
Tiverton Cranmore,Mid Devon,4953,51.4,27.7,31.7,
Tiverton Lowman,Mid Devon,6982,35.4,27.9,30.6,
Tiverton Westexe,Mid Devon,6029,41.6,26.1,31.1,
Upper Culm,Mid Devon,4325,48.6,37.7,17.8,
Upper Yeo & Taw,Mid Devon,,,,,2023 boundary review split/merged this ward from multiple old wards; no clean single-ward 2021 Census match — see Winning Devon section 14
Way,Mid Devon,1736,48.2,37.1,16.6,
Yeo,Mid Devon,,,,,2023 boundary review split/merged this ward from multiple old wards; no clean single-ward 2021 Census match — see Winning Devon section 14
Barnstaple Central,North Devon,2639,42.2,24.1,36.1,
Barnstaple with Pilton,North Devon,8041,40.8,26.7,33.0,
Barnstaple with Westacott,North Devon,7371,39.9,20.9,38.3,
Bickington,North Devon,7055,42.5,28.9,29.1,
Bishop's Nympton,North Devon,2182,55.8,31.7,17.2,
Bratton Fleming,North Devon,2407,53.2,31.4,20.0,
Braunton East,North Devon,4861,50.2,36.3,20.0,
Braunton West & Georgeham,North Devon,4669,51.3,33.1,22.4,
Chittlehampton,North Devon,2338,55.7,32.0,19.1,
Chulmleigh,North Devon,2107,56.5,31.0,20.9,
Combe Martin,North Devon,2647,55.5,26.7,26.0,
Fremington,North Devon,5230,54.3,32.7,25.8,
Heanton Punchardon,North Devon,2895,28.2,37.0,20.4,
Ilfracombe East,North Devon,6550,48.7,23.6,31.0,
Ilfracombe West,North Devon,4487,47.0,26.0,28.9,
Instow,North Devon,2189,60.1,37.5,16.7,
Landkey,North Devon,4527,50.7,34.9,21.4,
Lynton & Lynmouth,North Devon,2070,60.7,28.0,21.6,
Marwood,North Devon,2452,53.8,35.2,17.4,
Mortehoe,North Devon,2037,51.9,34.6,17.8,
Newport,North Devon,5054,41.9,30.5,27.3,
North Molton,North Devon,2326,48.7,27.7,18.0,
